LAUNCH_DATE,LAUNCH_SITE,NORAD_CAT_ID,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,COUNT
1962-03-07,AFWTR,256,87.58,90.89,155.0,155.0,0.0,1
1962-03-16,KYMSC,266,89.74,48.99,341.0,182.0,0.0,1
1962-04-06,TYMSC,269,88.37,48.86,231.0,157.0,0.0,1
1962-04-09,AFWTR,271,152.98,86.68,3411.0,2783.0,8.2159,1
1962-04-18,AFWTR,276,88.1,73.56,181.0,180.0,0.0,1
1962-04-23,AFETR,280,0.0,0.0,0.0,0.0,0.0,1
1962-04-24,KYMSC,281,88.96,48.95,253.0,193.0,0.0,1
1962-04-26,AFETR,285,88.25,53.76,191.0,185.0,0.0,1
1962-04-26,AFWTR,286,0.0,0.0,0.0,0.0,0.0,1
1962-04-26,TYMSC,287,90.6,65.0,205.0,185.0,0.0,1
1962-04-28,AFWTR,290,89.86,73.07,361.0,174.0,0.0,1
1962-05-15,AFWTR,292,88.51,82.29,208.0,194.0,0.0,1
1962-05-24,AFETR,295,88.6,32.6,250.0,161.0,0.0,1
1962-05-28,KYMSC,297,88.64,48.96,271.0,144.0,0.0,1
1962-05-30,AFWTR,302,87.9,74.1,171.0,171.0,0.0,1
1962-06-02,AFWTR,609,177.34,148.51999999999998,535.0,299.0,0.0,2
1962-06-17,AFWTR,307,88.48,96.3,199.0,199.0,0.0,1
1962-06-18,AFWTR,308,87.8,82.15,170.0,161.0,0.0,1
1962-06-19,AFETR,309,98.83,58.09,835.0,570.0,0.7711,1
1962-06-23,AFWTR,315,88.24,75.09,187.0,187.0,0.0,1
1962-06-28,AFWTR,316,87.74,76.01,163.0,163.0,0.0,1
1962-06-30,KYMSC,338,88.28,48.95,189.0,189.0,0.0,1
1962-07-10,AFETR,340,157.74,44.81,5644.0,942.0,0.5046,1
1962-07-18,AFWTR,343,88.28,96.11,215.0,163.0,0.0,1
1962-07-21,AFWTR,344,87.59,70.29,155.0,155.0,0.0,1
1962-07-28,AFWTR,345,88.27,71.09,190.0,188.0,0.0,1
1962-07-28,TYMSC,346,90.04,64.95,352.0,201.0,0.0,1
1962-08-02,AFWTR,360,88.58,82.25,215.0,194.0,0.0,1
1962-08-05,AFWTR,361,88.55,96.3,203.0,203.0,0.0,1
1962-08-11,TYMSC,363,88.08,64.96,200.0,158.0,0.0,1
1962-08-12,TYMSC,365,88.22,65.0,210.0,163.0,0.0,1
1962-08-18,KYMSC,367,88.04,48.92,188.0,167.0,0.0,1
1962-08-23,AFWTR,369,97.03,98.48,681.0,551.0,0.3354,1
1962-08-25,TYMSC,371,87.5,64.86,151.0,151.0,0.0,1
1962-08-27,AFETR,374,0.0,0.0,0.0,0.0,0.0005,1
1962-08-29,AFWTR,377,87.9,65.21,174.0,167.0,0.0,1
1962-09-01,AFWTR,385,88.88,82.79,236.0,202.0,0.0,1
1962-09-01,TYMSC,381,88.82,64.8,247.0,186.0,0.0,1
1962-09-12,TYMSC,389,88.4,64.9,218.0,179.0,0.66,1
1962-09-17,AFWTR,396,88.06,81.83,179.0,179.0,0.0,1
1962-09-18,AFETR,397,96.72,58.3,610.0,594.0,0.7579,1
1962-09-27,TYMSC,422,90.9,64.99,340.0,297.0,0.0,1
1962-09-29,AFWTR,851,194.24,145.87,1279.0,1183.0,1.08,2
1962-10-02,AFETR,432,2184.4,24.1,98756.0,23.0,0.0,1
1962-10-03,AFETR,433,88.92,32.55,286.0,156.0,0.0,1
1962-10-09,AFWTR,436,88.31,81.96,191.0,191.0,0.0,1
1962-10-17,TYMSC,437,90.17,65.0,369.0,197.0,0.0,1
1962-10-18,AFETR,439,0.0,0.0,0.0,0.0,0.0,1
1962-10-20,KYMSC,441,87.73,48.93,166.0,158.0,0.0,1
1962-10-24,TYMSC,443,89.13,65.11,261.0,202.0,0.0,1
1962-10-26,AFWTR,444,90.06,71.21,398.0,157.0,0.0,1
1962-10-27,AFETR,445,94.12,18.02,800.0,152.0,0.0,1
1962-10-31,AFETR,446,107.84,50.14,1180.0,1074.0,0.8349,1
1962-11-01,TYMSC,450,0.0,0.0,0.0,0.0,0.0,1
1962-11-04,TYMSC,451,87.9,64.85,171.0,171.0,0.0,1
1962-11-05,AFWTR,453,88.92,74.97,260.0,182.0,0.0,1
1962-11-11,AFWTR,455,88.7,96.0,292.0,128.0,0.0,1
1962-11-24,AFWTR,481,88.34,65.13,193.0,193.0,0.0,1
1962-12-04,AFWTR,490,88.36,65.19,262.0,124.0,0.0,1
1962-12-13,AFETR,503,185.05,47.5,7440.0,1318.0,0.9221,1
1962-12-13,AFWTR,2534,444.98,351.08000000000004,1399.0,848.0,0.0,5
1962-12-14,AFWTR,505,89.01,70.95,274.0,177.0,0.0,1
1962-12-16,WLPIS,506,103.96,52.0,1149.0,742.0,0.599,1
1962-12-19,AFWTR,509,88.5,90.55,203.0,197.0,2.5358,1
1962-12-22,TYMSC,517,90.39,64.92,388.0,200.0,0.0,1
1963-01-04,TYMSC,521,87.53,64.63,152.0,152.0,0.0,1
1963-01-07,AFWTR,525,88.7,82.19,256.0,164.0,0.0,1
1963-01-16,AFWTR,527,88.19,81.88,185.0,185.0,0.0,1
1963-02-14,AFETR,553,1236.22,29.89,34574.0,28981.0,0.0339,1
1963-02-19,AFWTR,533,87.8,100.41,173.0,158.0,0.8753,1
1963-03-21,TYMSC,554,89.66,64.91,320.0,195.0,0.0,1
1963-04-01,AFWTR,562,88.73,75.4,231.0,193.0,0.0,1
1963-04-02,TYMSC,566,0.0,0.0,0.0,0.0,0.0,1
1963-04-03,AFETR,564,87.86,57.64,186.0,151.0,0.0,1
1963-04-13,KYMSC,567,88.3,48.89,190.0,190.0,0.0,1
1963-04-22,TYMSC,569,89.64,64.93,348.0,165.0,0.0,1
1963-04-28,TYMSC,571,90.22,64.98,380.0,191.0,0.0,1
1963-05-07,AFETR,573,225.26,42.73,10809.0,962.0,0.476,1
1963-05-09,AFWTR,2350,588.52,346.27,11509.0,10832.0,11.976,4
1963-05-15,AFETR,576,88.79,32.54,266.0,163.0,0.0,1
1963-05-18,AFWTR,578,89.58,74.54,381.0,127.0,0.0,1
1963-05-22,KYMSC,580,88.39,48.94,213.0,177.0,0.0,1
1963-05-24,TYMSC,586,89.33,64.91,279.0,204.0,0.0,1
1963-06-12,AFWTR,590,88.46,81.82,226.0,171.0,0.0,1
1963-06-14,TYMSC,591,87.72,64.92,164.0,159.0,0.0,1
1963-06-15,AFWTR,2995,445.39,349.31,1526.0,764.0,0.0,5
1963-06-16,AFWTR,594,87.64,89.78,168.0,147.0,3.4392,1
1963-06-16,TYMSC,595,88.04,64.92,192.0,163.0,0.0,1
1963-06-19,AFETR,604,88.32,58.17,194.0,188.0,1.3081,1
1963-06-27,AFWTR,1223,185.89,163.57,1204.0,464.0,0.414,2
1963-06-28,WLPIS,612,87.44,49.64,151.0,144.0,1.0952,1
1963-06-29,AFWTR,613,87.95,82.28,173.0,173.0,0.0,1
1963-07-12,AFWTR,618,87.76,95.37,164.0,164.0,0.0,1
1963-07-19,AFWTR,2502,516.28,343.94,8206.0,7750.0,8.689,4
1963-07-26,AFETR,634,1436.08,33.14,35816.0,35757.0,2.1538,1
1963-07-31,AFWTR,626,90.6,74.9,455.0,152.0,0.0,1
1963-08-06,KYMSC,632,88.69,49.0,217.0,202.0,0.0,1
1963-08-25,AFWTR,636,89.4,75.0,320.0,161.0,0.0,1
1963-08-29,AFWTR,1275,177.37,163.73,426.0,412.0,0.0,2
1963-09-06,AFWTR,641,89.02,94.37,278.0,174.0,0.0,1
1963-09-23,AFWTR,668,87.6,74.93,170.0,142.0,0.0,1
1963-09-28,AFWTR,1341,214.18,180.06,2246.0,2122.0,2.3096,2
1963-10-17,AFETR,2041,15321.33,88.61,410102.0,129250.0,2.003,3
1963-10-18,TYMSC,673,89.5,64.89,297.0,202.0,0.0,1
1963-10-25,AFWTR,677,88.61,99.08,292.0,120.0,0.0,1
1963-10-29,AFWTR,1363,176.28,179.81,374.0,355.0,0.0,2
1963-11-01,TYMSC,683,88.35,58.82,206.0,180.0,8.3325,1
1963-11-11,TYMSC,687,88.5,64.78,220.0,181.0,0.0,1
1963-11-16,TYMSC,689,90.28,64.9,382.0,195.0,0.0,1
1963-11-27,AFETR,1387,5713.28,65.55,193351.0,4845.0,6.388,2
1963-11-27,AFWTR,695,88.5,70.04,245.0,156.0,0.0,1
1963-12-05,AFWTR,1409,213.78,179.8,2219.0,2111.0,2.4084000000000003,2
1963-12-13,KYMSC,707,89.12,48.94,259.0,203.0,0.0,1
1963-12-18,AFWTR,711,88.47,97.9,272.0,126.0,0.0,1
1963-12-19,AFWTR,714,90.11,78.67,301.0,259.0,9.9821,1
1963-12-19,TYMSC,712,90.45,65.03,394.0,199.0,0.0,1
1963-12-21,AFETR,716,97.98,58.5,683.0,642.0,0.7475,1
